00,0,0,100,100
01,0,100,100,200
02,0,200,100,300
03,0,300,100,400
04,0,400,100,500
05,0,500,100,600
06,0,600,100,700
07,0,700,100,800
08,0,800,100,900
09,0,900,100,999
10,100,0,200,100
11,100,100,200,200
12,100,200,200,300
13,100,300,200,400
14,100,400,200,500
15,100,500,200,600
16,100,600,200,700
17,100,700,200,800
18,100,800,200,900
19,100,900,200,999
20,200,0,300,100
21,200,100,300,200
22,200,200,300,300
23,200,300,300,400
24,200,400,300,500
25,200,500,300,600
26,200,600,300,700
27,200,700,300,800
28,200,800,300,900
29,200,900,300,999
30,300,0,400,100
31,300,100,400,200
32,300,200,400,300
33,300,300,400,400
34,300,400,400,500
35,300,500,400,600
36,300,600,400,700
37,300,700,400,800
38,300,800,400,900
39,300,900,400,999
40,400,0,500,100
41,400,100,500,200
42,400,200,500,300
43,400,300,500,400
44,400,400,500,500
45,400,500,500,600
46,400,600,500,700
47,400,700,500,800
48,400,800,500,900
49,400,900,500,999
50,500,0,600,100
51,500,100,600,200
52,500,200,600,300
53,500,300,600,400
54,500,400,600,500
55,500,500,600,600
56,500,600,600,700
57,500,700,600,800
58,500,800,600,900
59,500,900,600,999
60,600,0,700,100
61,600,100,700,200
62,600,200,700,300
63,600,300 ,700,400
64,600,400,700,500
65,600,500,700,600
66,600,600,700, 700
67,600,700,700,800
68,600,800,700,900
69,600,900,700,999
70,700,0,800,100
71,700,100,800,200
72,700,200,800,300
73,700,300,800,400
74,700,400,800,500
75,700,500,800,600
76,700,600,800,700
77,700,700,800,800
78,700,800,800,900
79,700,900,800,999
80,800,0,900,100
81,800,100,900,200
82,800,200,900,300
83,800,300,900,400
84,800,400,900,500
85,800,500,900,600
86,800,600,900,700
87,800,700,900,800
88,800,800,900,900
89,800,900,900,999
90,800,0,900,100
91,900,100,999,200
92,900,200,999,300
93,900,300,999,400
94,900,400,999,500
95,900,500,999,600
96,900,600,999,700
97,900,700,999,800
98,900,800,999,900
99,900,900,999,999
